Source_row,Species_key,Source_citation,Source_publication_year,Resolution_status
723,Paramegophrys tengchongensis,"JIAN-HUAN YANG and YING-YONG WANG and GUO-LING CHEN & DING-QI RAO (2016). A new species of the genus Leptolalax (Anura: Megophryidae) from Mt. Gaoligongshan of western Yunnan Province, China Zootaxa, 4088(3), 379–394 https://doi.org/10.11646/zootaxa.4088.3.4",2016,removed_duplicate_new_species_row
704,Paramegophrys verrucosa,"Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and Shao-Jun Xiao and Zhong Pan and Hu-Jun Pan and Zhao-Chi Zeng and Jian Wang (2022). A new species of the genus Leptobrachella (Anura, Megophryidae) from northwestern Guangdong Province, China Herpetozoa, 35, 165–178 https://doi.org/10.3897/herpetozoa.35.e89981",2022,removed_duplicate_new_species_row
1330,Paramegophrys wuhuangmontis,"Jian Wang and Jianhuan Yang and Yao Li and Zhitong Lyu and Zhaochi Zeng and Zuyao Liu and Youhua Ye and Yingyong Wang (2018). Morphology and molecular genetics reveal two new Leptobrachella species in southern China (Anura, Megophryidae) ZooKeys, 776, 105–137 https://doi.org/10.3897/zookeys.776.22925",2018,removed_duplicate_new_species_row
1336,Paramegophrys wuhuangmontis,"Jian Wang and Jianhuan Yang and Yao Li and Zhitong Lyu and Zhaochi Zeng and Zuyao Liu and Youhua Ye and Yingyong Wang (2018). Morphology and molecular genetics reveal two new Leptobrachella species in southern China (Anura, Megophryidae) ZooKeys, 776, 105–137 https://doi.org/10.3897/zookeys.776.22925",2018,removed_duplicate_new_species_row
140,Paramegophrys yeae,"Shengchao SHI and Yinmeng HOU and Zhaobin SONG and Jianping JIANG and Bin WANG (2021). A New Leaf Litter Toad of Leptobrachella Smith, 1925 (Anura, Megophryidae) from Sichuan Province, China with Supplementary Description of L. oshanensis Asian Herpetological Research, 12(2), 143–166 https://doi.org/10.16373/j.cnki.ahr.200118",2021,removed_duplicate_new_species_row
1328,Paramegophrys yunkaiensis,"Jian Wang and Jianhuan Yang and Yao Li and Zhitong Lyu and Zhaochi Zeng and Zuyao Liu and Youhua Ye and Yingyong Wang (2018). Morphology and molecular genetics reveal two new Leptobrachella species in southern China (Anura, Megophryidae) ZooKeys, 776, 105–137 https://doi.org/10.3897/zookeys.776.22925",2018,removed_duplicate_new_species_row
1333,Paramegophrys yunkaiensis,"Jian Wang and Jianhuan Yang and Yao Li and Zhitong Lyu and Zhaochi Zeng and Zuyao Liu and Youhua Ye and Yingyong Wang (2018). Morphology and molecular genetics reveal two new Leptobrachella species in southern China (Anura, Megophryidae) ZooKeys, 776, 105–137 https://doi.org/10.3897/zookeys.776.22925",2018,removed_duplicate_new_species_row
779,Paramesotriton aurantius,"ZHIYONG YUAN and YUNKE WU and JIAJUN ZHOU & JING CHE (2016). A new species of the genus Paramesotriton (Caudata: Salamandridae) from Fujian, southeastern China Zootaxa, 4205(6), 549–563 https://doi.org/10.11646/zootaxa.4205.6.3",2016,removed_duplicate_new_species_row
1834,Paramesotriton longliensis,"李松、田应洲、谷晓明、熊荣川 (2008). 瘰螈属一新种——龙里瘰螈(有尾目:蝾螈科) 动物学研究, 29(3), 313-317",2008,removed_duplicate_new_species_row
428,Paramesotriton maolanensis,"XIAOMING GU and RONGRONG CHEN and YINGZHOU TIAN and SONG LI and JINGCHENG RAN (2012). A new species of Paramesotriton (Caudata: Salamandridae) from Guizhou Province, China Zootaxa, 3510, 41–52",2012,removed_duplicate_new_species_row
