Duplicate_group_id,Group_size,Species_key,New_distribution_province,Source_row,Source_publication_year,Resolution_status,Retained_source_row,Source_citation
DUP026,3,Gonyosoma frenatum,湖北,2123,2018,removed_later_duplicate,2120,崔继法、吉晟男、王志先、高学斌、陈健、李俊峰、周友兵 (2018) 动物学杂志 Chinese Journal of Zoology 10.13859/j.cjz.201804019
DUP026,3,Gonyosoma frenatum,湖北,2124,2018,removed_later_duplicate,2120,崔继法、吉晟男、王志先、高学斌、陈健、李俊峰、周友兵 (2018) 动物学杂志 Chinese Journal of Zoology 10.13859/j.cjz.201804019
DUP027,2,Gracixalus guangdongensis,福建,316,2025,retained；同最早年多条，保留行序最先者，需人工裁定,316,"王鹤霖、王臻祺、林清贤、周晓平 (2025). 福建省两栖动物新记录种———广东纤树蛙 厦门大学学报(自然科学版), 64(5), 910-916 https://doi.org/10.6043/j.issn.0438-0479.202407017"
DUP027,2,Gracixalus guangdongensis,福建,2085,2025,removed_later_duplicate,316,冯金英、王鹤霖、王臻祺、钟鸿辉、林清贤、周晓平 (2025) 动物学杂志 10.13859/j.cjz.202525007
DUP028,2,Hebius bitaeniatum,贵州,2148,2012,retained；同最早年多条，保留行序最先者，需人工裁定,2148,
DUP028,2,Hebius bitaeniatum,贵州,2149,2012,removed_later_duplicate,2148,
DUP029,2,Hebius maximus,湖南,1796,2024,retained；同最早年多条，保留行序最先者，需人工裁定,1796,"黄杰、张自亮、李辉、杨鑫宇、胡小龙、唐依萍、刘昕、刘慧、张佑祥、吴涛 (2024). 湖南省爬行动物新纪录——华西腹链蛇及其系统发育分析 生命科学研究, 28(2), 165-170 https://doi.org/10.16605/j.cnki.1007-7847.2023.07.0177"
DUP029,2,Hebius maximus,湖南,1797,2024,removed_later_duplicate,1796,"黄杰、张自亮、李辉、杨鑫宇、胡小龙、唐依萍、刘昕、刘慧、张佑祥、吴涛 (2024). 湖南省爬行动物新纪录——华西腹链蛇及其系统发育分析 生命科学研究, 28(2), 165-170 https://doi.org/10.16605/j.cnki.1007-7847.2023.07.0177"
DUP030,6,Hebius vibakari,江苏,1798,2024,retained；同最早年多条，保留行序最先者，需人工裁定,1798,"叶琳、朱文启、章铁睿、虞磊、高国富、包浩然 (2024). 江苏省蛇类新纪录——东亚腹链蛇 Chinese Journal of Wildlife, 45(1), 216-221 https://doi.org/10.12375/ysdwxb.20240129"
DUP030,6,Hebius vibakari,江苏,1800,2024,removed_later_duplicate,1798,"叶琳、朱文启、章铁睿、虞磊、高国富、包浩然 (2024). 江苏省蛇类新纪录——东亚腹链蛇 Chinese Journal of Wildlife, 45(1), 216-221 https://doi.org/10.12375/ysdwxb.20240129"
