table,species,field,value,matched_name,via
events,Euprepiophis perlaceus,Protection,二级,Euprepiophis perlaceus,拉丁名精确(现行名)
events,Leptobrachium bompu,CHINA_RED_LIST,VU,Leptobrachium bompu,拉丁名精确(现行名)
events,Liurana xizangensis,CHINA_RED_LIST,LC,Liurana xizangensis,拉丁名精确(现行名)
events,Liurana alpina,CHINA_RED_LIST,LC,Liurana alpina,拉丁名精确(现行名)
events,Paramesotriton deloustali,CHINA_RED_LIST,VU,Paramesotriton deloustali,拉丁名精确(现行名)
events,Paramesotriton deloustali,Protection,二级,Paramesotriton deloustali,拉丁名精确(现行名)
events,Theloderma bicolor,CHINA_RED_LIST,DD,Theloderma bicolor,拉丁名精确(现行名)
events,Theloderma albopunctatum,CHINA_RED_LIST,NT,Theloderma albopunctatum,拉丁名精确(现行名)
events,Hemidactylus garnotii,CHINA_RED_LIST,LC,Hemidactylus garnotii,拉丁名精确(现行名)
events,Hemiphyllodactylus hongkongensis,CHINA_RED_LIST,VU,Hemiphyllodactylus hongkongensis,拉丁名精确(现行名)
events,Hemiphyllodactylus dushanensis,CHINA_RED_LIST,DD,Hemiphyllodactylus dushanensis,拉丁名精确(现行名)
events,Laudakia stoliczkana,CHINA_RED_LIST,NT,Laudakia stoliczkana,拉丁名精确(现行名)
