species,IUCN_category,gbif_matched_name,gbif_match_type,query_used
Gracixalus yunnanensis,LC,"Gracixalus yunnanensis Yu, Li, Wang, Rao, Wu & Yang, 2019",EXACT,Gracixalus yunnanensis
Gynandropaa yunnanensis,NE,"Gynandropaa yunnanensis (Anderson, 1879)",EXACT,Gynandropaa yunnanensis
Hebius atemporale,DD,"Hebius atemporalis (Bourret, 1934)",EXACT,Hebius atemporalis
Hebius bitaeniatum,LC,"Hebius bitaeniatus (Wall, 1925)",FUZZY,Hebius bitaeniatum
Hebius boulengeri,LC,"Hebius boulengeri (Gressitt, 1937)",EXACT,Hebius boulengeri
Hebius citrinoventer,NE,"Hebius Thompson, 1913",HIGHERRANK,Hebius citrinoventer
Hebius jingdongensis,NE,"Hebius Thompson, 1913",HIGHERRANK,Hebius jingdongensis
Hebius maximus,NE,"Hebius maximus (Malnate, 1962) Li, Ren, Huang, Lyu, Qi, Jiang, Wang & Li, 2022",EXACT,Hebius maximus
Hebius optatum,LC,"Hebius optatus (Hu & Zhao, 1966)",FUZZY,Hebius optatum
Hebius sauteri,LC,"Hebius sauteri (Boulenger, 1909)",EXACT,Hebius sauteri
Hebius shantianfangi,NE,"Hebius Thompson, 1913",HIGHERRANK,Hebius shantianfangi
Hebius vibakari,LC,"Hebius vibakari (Boie, 1826)",EXACT,Hebius vibakari
Hebius vogeli,NE,"Hebius Thompson, 1913",HIGHERRANK,Hebius vogeli
Hebius youjiangensis,NE,"Hebius youjiangensis Xu, Yang, Gong, Wu, Huang, Liu, Liang, Huang & Huang, 2023",EXACT,Hebius youjiangensis
Hemidactylus frenatus,NE,"Hemidactylus frenatus Duméril & Bibron, 1836",EXACT,Hemidactylus frenatus
Hemidactylus garnotii,LC,"Hemidactylus garnotii Duméril & Bibron, 1836",EXACT,Hemidactylus garnotii
Hemidactylus tenkatei,LC,"Hemidactylus tenkatei Lidth De Jeude, 1895",EXACT,Hemidactylus tenkatei
Hemiphyllodactylus changningensis,LC,"Hemiphyllodactylus changningensis Guo, Zhou, Yan & Li, 2015",EXACT,Hemiphyllodactylus changningensis
Hemiphyllodactylus dushanensis,NE,"Hemiphyllodactylus dushanensis (Zhou & Liu, 1981)",EXACT,Hemiphyllodactylus dushanensis
Hemiphyllodactylus gengmaensis,NE,"Hemiphyllodactylus Bleeker, 1860",HIGHERRANK,Hemiphyllodactylus gengmaensis
